id,title,content,imageUrl,createdAt,updatedAt,deletedAt,departmentId
1,"CMPE Lab Maintenance","CMPE labs closed this week.",/uploads/news/cmpe_lab.jpg,"2025-12-03 20:58:40.727","2025-12-03 20:58:40.727",NULL,1
2,"CMPE AI Workshop","AI workshop scheduled Friday.",NULL,"2025-12-03 20:58:40.903","2025-12-03 20:58:40.903",NULL,1
3,"CMPE Seminar","Seminar on software testing.",/uploads/news/cmpe_seminar.jpg,"2025-12-03 20:58:41.026","2025-12-03 20:58:41.026",NULL,1
4,"CMPE Notice","Final exam schedule released.",NULL,"2025-12-03 20:58:41.160","2025-12-03 20:58:41.160",NULL,1
5,"CMPE Graduation","Graduation ceremony planned.",NULL,"2025-12-03 20:58:41.169","2025-12-03 20:58:41.169",NULL,1
6,"Library Update","New books available in library.",/uploads/news/library.jpg,"2025-12-03 20:58:41.187","2025-12-03 20:58:41.187",NULL,NULL
7,"Campus WiFi","WiFi upgraded across campus.",NULL,"2025-12-03 20:58:41.205","2025-12-03 20:58:41.205",NULL,NULL
8,"Cafeteria Menu","New healthy options available.",NULL,"2025-12-03 20:58:41.260","2025-12-03 20:58:41.260",NULL,NULL
9,"Sports Week","Inter-department sports week starts Monday.",NULL,"2025-12-03 20:58:41.287","2025-12-03 20:58:41.287",NULL,NULL
10,"Maintenance Alert","Power shutdown on campus.",/uploads/news/power.jpg,"2025-12-03 20:58:41.309","2025-12-03 20:58:41.309",NULL,NULL
11,"Student Council Elections","Elections scheduled next week.",NULL,"2025-12-03 20:58:41.317","2025-12-03 20:58:41.317",NULL,NULL
12,"Tech Fair","Annual tech fair coming soon.",NULL,"2025-12-03 20:58:41.343","2025-12-03 20:58:41.343",NULL,NULL
13,"Guest Lecture","Industry expert will lecture on AI.",NULL,"2025-12-03 20:58:41.355","2025-12-03 20:58:41.355",NULL,NULL
14,"Scholarship Announcements","New scholarships available.",NULL,"2025-12-03 20:58:41.365","2025-12-03 20:58:41.365",NULL,NULL
15,"Library Hours Extended","Library open till midnight.",NULL,"2025-12-03 20:58:41.372","2025-12-03 20:58:41.372",NULL,NULL
